7:302,616,58,29,15,518,8,6,138,650
18:47812,32205,17608,16042,63512,55439,43750,54038,85561,71624
19:17,302,654,76,616,58,8,866,84,29
36:2162,518,616,17,32,6450,542,2935,84,28707
37:30824,76361,29189,3932,72538,78398,75509,75086,79842,61261
41:69968,69913,46913,19996,29237,59548,616,101,12814,65328
42:21949,19666,12183,23010,7451,85488,12480,62137,91943,59697
43:14906,1678,29732,19982,16350,16726,22855,102404,14032,13936
44:616,22348,302,861,542,15,1196,10459,35954,61
45:43527,83367,117814,65088,110820,16456,40198,61381,53818,72363
46:616,58,302,8,542,15,61,73617,72535,1102
59:73294,35893,69177,92714,101442,68630,57228,38570,3382,12814
60:302,58,616,29,542,15,84,1102,6,861
69:19996,12814,58,61,73294,654,32,19913,27281,364
70:76180,74624,38142,103751,75831,121073,103965,55649,62649,82779
94:39992,27833,16322,29189,18186,15460,65707,30824,76361,61261
106:15,1511,554,101,518,61,8,84,29,32
115:58,518,861,15,8,61,902,1511,289,29
116:19277,82524,118640,96903,29001,57859,73147,45909,49010,5557
142:58,61,32,364,861,84,8,554,29,999
143:120713,116359,110799,107116,106303,93049,73067,54752,54650,54193
148:18361,3107,1527,82026,38790,6434,5103,26457,13544,3172
150:654,302,61,542,15,861,518,17,650,101
156:63261,63055,29641,21586,26983,52043,59570,81674,85488,12183
161:616,84,542,15,101,289,6,29,1511,138
171:302,15,861,61,6,101,84,650,322,518
172:58,654,861,542,81964,162,61,554,4904,1511
174:91046,74620,68438,67674,65926,64482,64416,63185,60378,59905
177:542,15,616,58,654,861,518,29,1511,27103
196:616,15,542,61,101,29,650,289,861,354
202:15,542,58,518,302,32,8,554,861,354
211:39320,41897,64225,55785,51871,63094,58338,106389,60838,6574
217:30531,12183,85488,91943,33777,9772,26325,13337,15383,18604
220:58738,186,7649,64973,7478,10178,22713,39446,45641,68179
223:616,58,654,518,103,302,38851,50010,364,5629
224:4797,601,6417,1043,16127,53543,15627,8694,47366,8898
225:15,616,542,61,654,302,103,58,364,861
228:69120,77975,5362,66388,60433,40012,46821,107313,650,3851
229:58,15,518,84,861,61,101,32,1511,6
231:616,302,8,654,15,518,58,84,861,542
232:61943,62228,69488,73208,75577,108129,77677,78975,107989,83516
238:66781,71081,64516,77219,31294,13881,37986,46530,87434,62328
241:616,542,58,861,15,518,46130,61,650,66489
245:16786,16441,114452,111619,105746,105198,104546,102045,100933,99798
249:94,15,61,1065,27281,103,1987,364,654,616
250:616,542,58,518,654,554,861,245,1511,902
253:189,6434,8848,6266,3107,4568,1527,3172,15608,5624
257:542,15,17,861,84,61,1511,1196,6,289
272:654,1102,29,58,518,616,8,354,6,101
273:654,302,17,101,15,289,861,554,902,650
288:616,15,58,1511,1196,17,554,289,101,61
290:138,1535,14163,51461,119040,116016,115064,44218,64527,11564
291:15989,23,26067,26721,61628,16852,10384,54443,58438,8054
292:616,654,58,542,61,861,289,1511,138,999
294:302,17,15,1102,8,542,29,861,6,61
328:123082,114350,15647,96919,27234,5335,7690,25963,29794,32590
331:616,654,58,15,58471,6,302,7271,22348,35735
345:1754,77581,120518,92129,80736,83173,100590,45975,11401,28511
361:616,58,861,29,518,650,8,354,101,289
376:58,302,29,616,17,1140,542,61,6,190
384:542,1511,616,1196,15,654,1624,61,302,8
401:616,58,542,15,861,1102,61,354,554,32
402:654,302,542,15,861,61,8,518,101,162
410:5624,4755,8848,10041,984,8860,2880,6434,4568,3172
448:56948,12807,110038,17532,70146,63904,15,245,75007,65943
449:518,1405,15,54951,32,71363,103,616,999,86323
450:15,1511,23929,654,302,27103,1403,5680,1140,23485
452:25560,12752,56948,17532,110038,34941,61594,16207,26234,12807
476:71577,1142,70597,47309,91432,82839,78603,103274,16784,68244
488:616,542,15,518,1511,861,58,61,1196,302
490:15,302,61,101,32,17,554,1403,29,289
494:616,542,58,15,654,1196,554,8,101,518
500:3448,14750,776,12253,5080,4203,1912,8861,11621,17
514:91132,32716,100961,9062,11859,9457,73147,15007,616,44976
525:1187,875,84,15,654,245,61,518,616,6450
535:29,17,542,6,101,861,518,1102,8,289
536:15,542,616,654,32,518,1511,28833,88192,90815
538:9603,616,302,654,101,58,42657,15,289,1102
539:15,58,542,654,518,17,1196,861,8,61
564:518,15,84,289,1102,650,861,61,8,6
582:616,861,15,518,61,6,84,29,162,1196
585:54487,46483,1529,35767,4284,1233,12399,71914,100573,105924
590:654,518,29,101,8,861,736,354,542,6
601:18245,27912,31717,48912,67228,69110,75023,90054,90819,94414
618:75979,97496,102824,111417,121026,542,616,64390,15,364
624:38803,15450,56701,16867,28352,21577,38998,36843,35300,14350
627:19731,77531,114599,58992,21439,30281,6121,88610,11539,13374
628:85531,84119,83827,75906,75362,75280,72411,70460,70099,67955
632:12982,62664,17529,37986,15107,13371,58447,50026,105369,36681
633:1511,58,15,1196,61,654,518,554,302,8
634:77570,118115,116904,106730,30486,29681,20412,14250,57974,2423
646:74629,79374,3761,83724,101945,83231,81589,73298,108047,8993
666:27011,78317,80569,36397,83885,22211,71945,73181,83967,88204
667:70006,27886,30578,5156,17288,14732,70640,8527,54659,33745
669:122516,113255,103073,94421,54949,34208,77343,52194,53117,73095
678:58,8,518,542,654,302,101,84,861,1102
680:616,15,58,654,1196,518,861,1511,17,650
681:23373,9055,16036,46530,30786,4989,80109,5480,18783,85167
682:28466,56380,23239,28658,28467,64408,70650,21515,29441,115341
683:112536,45128,71928,74504,77432,78041,79332,94511,97127,98188
684:69720,58444,119675,53182,59404,62346,9935,87528,86509,29161
715:59850,21966,101827,1753,6394,2543,10958,74696,8427,47977
716:56166,70959,23289,8897,76202,56360,82253,77022,71652,53895
741:55392,22841,3592,120393,86896,105597,10865,106310,13460,88647
750:15,61,32,6,8,4904,902,322,1102,162
754:616,58,542,654,61,302,554,32,17,861
756:616,542,15,84,61,101,1102,8,861,289
757:47161,69672,73104,73926,59102,53935,84478,1967,122666,108557
758:79423,70858,111363,46128,94123,37677,28443,34270,19354,52277
763:542,17,29,15,61,650,84,554,101,289
773:39526,105394,58120,99175,94677,18491,31208,52062,94968,67781
774:1511,1196,61,302,554,4904,32,518,1403,364
775:58,15,542,518,1511,6,245,1102,787,101
782:26744,100244,18670,9036,67630,32152,28372,50709,50162,59726
784:542,518,861,1196,302,1405,101,999,6,1403
793:16241,109031,42335,728,14193,11396,35619,23833,1734,27447
803:6450,1119,10511,2789,3389,4420,1195,9717,6945,17850
813:542,61,616,518,654,1511,17,364,302,101
815:542,58,15,61,654,1511,554,364,302,861
817:29,1102,58,616,6,8,138,289,101,301
818:22395,38469,984,2402,17112,20993,5480,11859,21031,7711
823:57607,46153,103784,85090,66430,65575,83953,24079,50346,49107
825:616,518,542,654,58,94,103,8,861,101
833:58,861,1196,999,302,8,1403,564,84,486
835:616,15,518,542,101,1511,58,902,861,654
838:15131,59120,67323,28371,84808,113566,45281,59054,65469,17077
844:58,29,8,518,736,6,354,15,101,542
850:9482,866,13468,9890,657,254,354,17,73567,71119
856:364,6,4904,162,999,1140,103,23929,1405,486
857:302,15,542,61,518,289,84,101,6,861
874:39992,7779,18186,15460,58,88244,75509,13387,87636,78398
891:361,17,354,654,302,254,29,84,1102,58
899:518,15,32,616,364,1511,8,1410,1405,61
900:31369,94192,25978,25504,16155,93302,73528,44660,13388,85633
911:87631,16701,20416,26220,32455,43375,59899,96993,29419,79033
918:17,15,616,58,518,542,8,654,302,1023
925:93298,10091,48437,13901,14328,98349,96865,96125,95088,91148
926:58,302,542,518,6,322,84,861,354,1511
937:616,518,58,302,654,61,542,101,861,875
949:17,302,654,76,616,58,8,866,84,29
964:2403,3207,17596,970,9490,33639,43335,32558,27281,3434
970:14636,83571,60987,50946,45359,41288,9093,75359,59816,69046
977:518,15,554,61,17,1511,29,650,364,354
981:13881,13031,44373,29646,49694,53951,60151,3118,45271,80399
982:2162,875,1119,6450,109008,69057,65410,11995,16219,2225
984:11369,33047,2529,32122,65815,35538,5836,47323,41049,23160
992:780,8511,245,1065,85642,41386,16036,3137,441,8588
993:654,84,58,616,1102,29,354,138,518,542
998:616,58,17,654,84,1405,542,61,302,101
1000:542,518,58,61,17,83692,1511,861,18421,101
1007:654,542,15,1196,29,554,17,6,289,1140
1027:7404,3601,3882,38251,11859,5488,14662,168,2103,25393
1028:616,518,302,58,861,17,61,542,101,15
1044:53820,59580,107960,85205,110118,111661,38478,38698,80121,78753
1045:542,58,518,61,17,1511,101,8,6,289
1049:15598,116002,111787,18148,107337,102176,101626,22955,34192,3838
1068:13853,73569,31281,117390,29947,57007,52136,11602,12139,122488
1069:15087,59661,28213,85678,654,542,114299,101,554,84
1070:616,58,542,15,518,44369,861,67217,122695,91808
1082:518,15,84,542,101,650,6,61,162,1102
1083:62335,45686,87395,75042,3888,13829,71491,4757,53428,16272
1088:18604,33777,9772,15383,13337,39505,16505,21949,31515,19666
1094:616,58,61,861,29,736,6,787,32,554
1116:69099,7726,63931,3219,38031,61065,60906,60722,44931,53664
1121:6715,99297,25432,82413,70332,6532,25952,32362,35341,35863
1125:542,616,58,61,654,302,364,84,27281,32
1127:68249,57539,35192,21994,63590,27898,32204,43534,106245,105545
1132:37859,15,654,518,542,32,1405,58,66709,90868
