1:123090,122350,62261,80178,35862,51525,18920,100955,7065,11681,36710,36777,19206,2021,2618,42,1832,52914,69235,4310
4:35877,74986,18327,9887,94612,18380,74198,10305,10033,16886,83764,13279,13845,82444,35879,72618,57734,112285,85562,5240
8:5377,4236,24338,22163,20713,18817,22926,12869,52792,1172,77433,7148,58754,44588,17,30068,11677,30002,30459,84
16:23655,3046,56229,51661,44716,40326,34393,7506,8896,9558,9717,13772,28231,14482,27861,14912,15242,17245,25053,18256
22:73005,17,302,616,654,1102,58,94,60722,32,49519,30922,29,87480,84213,90408,38544,111478,12193,28630
25:26,17,2934,8209,94192,2447,25499,44660,25978,31369,13388,24919,78608,35939,4126,4941,50268,24211,25504,36885
26:8860,40219,7404,32748,51839,61706,1531,75655,95503,110951,62325,36122,23239,28658,28466,75041,35792,41199,12984,10832
33:117896,86993,70217,108578,94636,57170,121807,123217,48488,82838,35873,15663,15191,13089,41265,70262,103918,73106,50141,168
42:29548,58571,51510,20398,62669,56688,1115,78985,79108,79672,85904,78364,93324,107418,121723,122204,62785,7346,17,19666
45:347,74038,43527,117814,40198,61381,110820,65088,16456,83367,79096,53016,56414,12216,65060,50457,33237,4858,11751,15580
49:1951,185,16514,20711,24187,24738,7149,28682,29097,37322,4934,120705,64940,67790,616,542,37952,102226,102246,62285
54:37636,483,490,5542,4374,1413,109841,21498,3346,111944,21260,3618,20748,3805,3977,64660,4259,62404,62201,19015
61:1762,3234,1476,495,749,3751,4025,692,1653,915,14617,2570,11818,9372,13228,2903,9850,16288,4563,17464
74:18581,36226,97610,76791,511,38870,29828,17783,790,16739,809,99717,62518,14601,19964,61556,61370,38474,27230,7026
82:17,3234,1476,495,837,1567,2868,395,3,2361,4025,14617,5025,9480,6284,5961,692,4536,14758,13681
85:38873,39734,88909,41737,71046,4040,15506,33843,47420,47136,86765,87927,44139,83768,54630,50826,58831,51592,60474,53791
88:30796,14750,12253,8861,5080,8197,11724,1912,10014,9230,22199,21171,28505,15223,20045,47243,5457,4092,7135,11210
93:76,23256,23847,30,7257,12223,4601,28025,891,36498,31128,1726,2619,107819,105993,45002,62764,101436,61194,80993
105:48990,19177,12350,841,34115,104378,30923,115395,118729,36303,63461,33330,17,1140,194,2185,3429,6353,204,10012
113:36825,84927,64593,72988,74385,65613,43753,39257,95078,55209,34605,15558,71353,36108,63386,21903,67483,9107,15325,22036
139:70058,111422,25827,1382,3250,563,1065,4068,1881,2076,3288,3093,7735,55469,1800,13390,46216,82898,84709,13838
152:51191,75462,111025,119823,29540,61936,4603,36540,97437,79923,108938,64473,67982,28968,36482,41304,43403,32307,95326,113134
159:44813,44895,3234,1476,495,749,4536,45,692,1653,4025,4173,3751,14617,4563,1676,11818,37032,915,343
166:194,2454,1277,115125,89424,204,23867,13099,15114,10040,81289,2062,33997,30427,41037,105213,60785,52095,909,40061
