7:302,29,58,8,1245,616,866,138,70,899,
18:273,7680,431,2399,8093,1709,17,385,1254,3235,
19:72403,116432,40913,118691,47792,116483,49646,103425,34706,72225,
36:17,2162,84,891,2935,6450,654,70,8,1389,
37:17,5587,2559,20300,16229,472,5287,2142,4967,1987,
41:17,616,302,1009,7407,1957,58,101,138,654,
42:17,2008,4880,76,8384,1009,5465,302,1039,654,
43:17,226,891,1389,1057,1187,76,302,1462,899,
44:6901,302,616,892,76,966,15,322,1866,289,
45:1730,347,6901,10039,2414,76,2312,7037,5550,3847,
46:302,6450,4420,1389,8,1057,76,736,3389,616,
59:654,616,58,354,1102,564,542,5567,1287,76,
60:302,58,29,726,84,616,76,1102,8,518,
69:302,58,654,354,472,2088,3249,11571,13294,6157,
70:76,302,254,654,354,84,28605,1187,23967,182,
94:2743,1126,1473,1405,6186,119,5287,199,1100,327,
106:29,84,101,554,6,8,10048,736,70,449,
115:8,58,4542,518,8093,902,138,29,409,861,
116:719,2337,1326,3177,14754,2318,463,2153,1730,5480,
142:81,44,3578,22689,8617,10941,16404,39006,3739,805,
143:394,483,17,62,356,616,84,302,363,486,
148:1527,3107,3172,2241,4825,3137,1712,1884,13544,3939,
150:17,302,654,29,322,650,8,6,1245,736,
156:8,302,58,84,1102,616,289,354,902,1348,
161:84,616,29,138,650,76,5998,101,301,866,
171:302,1476,6,861,650,395,76,84,866,591,
172:654,58,1937,861,76,155,564,542,407,162,
174:1208,493,483,1822,429,578,431,147,151,2414,
177:17,654,29,58,616,542,8,7334,84,518,
196:616,76,29,650,1187,354,736,61,101,224,
202:302,8,1884,518,58,500,229,138,13544,3423,
211:3704,17,1825,873,7334,1131,7048,947,710,342,
217:17,654,302,616,29,58,2548,8,518,826,
220:225,378,429,273,4032,696,14026,3307,5303,1709,
223:302,654,616,58,6759,103,84,518,29,8,
224:353,1951,3176,2268,7680,4239,601,4797,4589,1803,
225:1187,302,616,2162,84,654,58,76,1119,875,
228:17,361,302,616,650,58,654,564,3231,76,
229:58,84,1102,518,15,508,866,361,736,94,
231:76,302,654,58,8,29,301,84,70,616,
232:736,190,17,302,654,616,58,76,564,8,
238:441,2715,710,1744,4513,8928,3618,2028,6315,371,
241:58,616,29,650,1102,84,394,564,285,76,
245:3137,780,5767,81,229,2241,550,1164,3939,3423,
249:17,302,654,76,2715,1002,2955,254,146,84,
250:616,302,58,8,654,1086,1578,518,289,564,
253:189,1527,3107,3172,4825,6434,8848,23191,7831,5624,
257:17,84,542,861,1245,354,138,301,289,15,
272:1102,654,29,354,8,866,58,899,3039,518,
273:17,302,654,736,650,76,114,861,101,138,
288:17,616,58,76,84,29,15,650,101,1102,
290:17,226,76,302,138,117,986,81,1382,1790,
291:17,84,518,302,1102,616,654,58,650,5998,
292:654,58,616,76,301,70,138,9594,542,363,
294:17,302,76,8,1102,5663,1187,353,29,1389,
328:302,3039,953,84,650,36136,899,1127,616,654,
331:17,302,616,654,58,15,650,8,6,84,
345:385,805,5726,2399,1754,3250,1787,33223,22801,28166,
361:29,354,58,616,8,76,138,650,301,736,
376:17,302,58,29,616,81,395,76,285,3234,
384:17,616,302,654,224,409,8,76,542,650,
401:58,616,1102,1187,29,496,245,354,650,2162,
402:302,654,2092,162,8,285,591,542,356,1102,
410:4755,463,984,2880,10041,3172,5738,4825,2153,8860,
448:385,5287,1205,827,2983,327,402,302,119,616,
449:385,826,2194,17,70,834,117,521,8384,3484,
450:23370,30143,1957,654,302,2816,34382,1097,354,9728,
452:13523,1099,782,5869,6304,385,5287,44,17,229,
476:353,3176,774,1951,3514,1592,1827,2403,2714,2696,
488:17,2121,302,1825,616,58,8093,508,908,787,
490:17,302,29,101,76,15,486,510,650,2268,
494:225,17,616,654,155,3101,58,8,29,1196,
500:17,302,76,616,654,3448,58,8,84,29,
514:17,616,302,654,650,76,58,2312,1196,8,
525:1187,875,2967,7211,1888,140,2379,1749,13544,3137,
535:17,1102,29,6,76,8,542,861,301,518,
536:76,616,2268,302,1126,736,1790,518,8,6846,
538:4308,302,1102,616,654,5998,76,1991,508,1589,
539:17,58,654,8,29,564,2399,1937,1102,826,
564:84,76,8,1462,650,736,1102,518,285,289,
582:616,76,29,518,84,162,15,322,138,564,
585:17,302,654,84,29,70,94,866,790,76,
590:654,8,1762,1462,29,354,650,101,76,518,
601:226,70,17,76,81,302,654,616,7087,138,
618:226,4,76,3423,17,10048,1069,2241,96,40,
624:4308,2703,7006,17,1589,1991,76,1592,508,4261,
627:7334,3137,780,1077,3039,4671,9594,12586,1131,5767,
628:2946,605,1091,2579,3789,4372,1991,306,13741,848,
632:429,9354,696,3789,17,11008,12090,140,247,1749,
633:302,58,654,8,564,62,289,518,650,1305,
634:3423,17,3137,262,226,2241,986,76,780,5767,
646:1913,76,17,546,1995,4880,826,40,5097,2848,
666:533,5975,8772,6311,3034,603,10981,1397,2510,3150,
667:17,302,76,58,654,616,1847,564,645,394,
669:500,168,2318,518,116,463,1460,984,1326,17,
678:17,302,8,84,58,654,518,1462,591,76,
680:17,616,654,8,58,650,190,1344,1190,29,
681:441,719,2337,5738,8928,2153,4513,13,1460,1340,
682:1528,2318,7711,9783,399,14754,76,9531,18669,2460,
683:669,8725,11808,429,15,11008,8322,8627,226,4542,
684:168,840,984,719,463,5480,8860,661,5738,1528,
715:4671,7334,8772,7622,3034,9435,12861,7926,2215,5975,
716:225,429,4032,5303,1549,861,3884,17,3101,14026,
741:168,984,463,2318,8860,661,5738,1528,5480,1400,
750:138,8,68027,60265,49707,27043,26320,9125,12538,16038,
754:17,302,616,58,654,76,568,29,32,61,
756:616,84,8,76,1102,1476,650,289,285,3234,
757:17,302,654,616,58,564,76,84,29,8,
