7:302,29,58,301,495,616,3234,518,138,692,16288,1762,866,6,650,289,1245,224,70,8
18:32205,47812,17608,54038,63512,43893,85561,26299,534,102146,24164,10494,17,16042,518,85564,32,902,81980,8
19:19480,32986,2048,63138,88259,38807,20378,46443,55247,59083,5145,10285,57453,16664,72883,72978,42632,9718,81,49867
36:17,2162,654,84,70,616,29,354,472,3046,1382,322,891,94,1023,518,15,2935,301,2789
37:65,17,84,296,9617,1239,10520,6009,57491,73168,16288,1382,4967,472,61,1126,15,1987,542,103
41:356,4499,3890,18867,14202,17,616,58,101,138,902,2193,7407,302,654,542,1405,15,564,354
42:518,84,7451,3642,1009,3824,2193,131,62137,2008,58571,29709,1102,10015,14202,19666,7558,35036,17,21949
43:2983,29732,14906,1678,6977,15676,2345,14761,17,899,138,19982,6960,16726,5195,16350,22855,73891,11650,13936
44:15,97,5413,2338,1217,2316,5710,26042,302,616,76,101,289,861,84,542,1196,322,6,61
45:347,53818,43527,83367,4858,106466,65088,110820,61381,74038,53016,56414,15580,11751,23970,117814,16456,40198,79096,47964
46:109,7506,19431,46215,18256,45422,38663,302,58,289,508,1102,61,245,354,616,6,322,947,8
59:119,1039,16134,29709,37900,654,616,1102,29,3017,138,354,58,15,542,245,564,32,508,6
60:302,6011,6848,29,726,58,84,1102,3,2868,5025,76,162,616,138,285,518,6,650,289
69:813,559,1217,5465,31063,14551,9931,16319,8276,58,32,101,289,787,61,402,654,302,564,1196
70:76,59931,31670,68787,38142,302,73800,18150,24138,119010,76931,899,74624,37657,354,76180,70795,115047,68051,81381
94:119,12066,559,322,1152,6175,20553,9617,95138,11174,8276,85755,508,6270,32,11626,1126,17,616,1405
106:14202,67595,101,554,29,84,32,1102,15,449,162,1140,239,518,6,363,61,364,8,736
115:966,709,1360,2982,2816,58,29,518,861,289,15,354,787,902,322,61,285,138,301,8
116:29001,834,19277,719,226,1326,986,118640,82524,2337,297,463,9417,2153,1528,17,70,76,96903,1790
142:296,454,709,1965,19984,8487,18867,5176,58,162,29,554,84,364,861,1102,32,61,322,8
143:86747,49245,394,3231,483,120713,20605,54752,93049,302,95698,57288,110799,83821,40446,44282,73067,50883,16703,54193
148:5103,378,1405,46215,6024,18867,5545,986,4048,1790,138,3516,1023,70,3137,13544,17,500,348,1884
150:17,861,654,302,650,322,289,29,1424,101,554,6,564,84,354,61,51705,62856,8,736
156:568,7029,84,302,52773,19666,58,15148,3642,12183,7558,3420,75772,91943,30531,14728,1102,354,2193,8
161:1403,1039,179,9581,1926,13062,12259,84,616,5998,289,101,29,138,6,15,650,322,564,301
171:28641,302,1476,84,6,239,289,354,101,726,395,861,162,1102,322,518,650,15,138,8
172:1937,1217,654,58,861,162,542,84,76,483,138,518,1102,285,356,554,564,322,409,8
174:57606,91046,38437,109231,19585,122852,115036,33107,74620,103672,20582,4608,3233,4364,64416,373,2233,11194,67674,78778
177:29,17,654,58,616,84,1476,1102,6,3234,542,15,76,861,285,1196,354,518,301,8
196:650,3476,4578,427,17164,29,354,616,289,101,554,1762,1462,239,76,15,322,564,226,736
202:220,302,58,138,518,354,32,15,8,554,1382,1102,245,861,542,6,1535,902,301,787
211:122005,7794,39320,118581,63094,64225,115885,67519,106950,6574,117058,21276,815,106389,12160,33065,19749,74784,110439,53187
217:17,55991,518,167,2548,30531,654,84,302,75772,21949,7451,18700,15383,245,1471,33777,616,1102,9772
220:186,22713,10178,39446,7649,64973,58738,40356,13192,32261,7478,8171,68179,1812,45641,46421,83499,1342,4032,88939
223:119,559,167,58,616,654,302,518,84,554,2030,322,354,564,245,6,29,861,650,8
224:4797,601,4589,353,15627,1467,16918,53543,1951,24044,112946,68162,7126,51115,44267,12993,8694,37744,6417,1043
225:353,3476,32619,1187,302,654,84,58,15,1119,138,32,616,94,1102,76,542,518,301,2162
228:650,568,17,361,61858,10039,117727,58,302,5097,37864,20097,64188,32446,27615,3568,224,616,654,3851
229:1410,2068,58,84,1102,518,15,94,861,508,101,364,322,6,32,285,363,1196,61,736
231:2904,302,654,76,58,84,616,301,361,95969,11861,1382,94,119,29,866,354,1102,899,138
232:109145,41443,10261,60364,120622,83516,73208,48256,100265,77322,99135,77677,78975,48718,86134,85366,108129,62228,37449,40084
238:26712,42397,441,9055,3618,10536,2672,4421,4513,46530,47138,112002,75728,71081,1744,4856,13814,13881,710,2715
241:7973,58,616,29,84,1102,542,518,650,289,61,6,861,285,76,15,354,322,363,301
245:80508,40012,62162,16786,12895,81,262,114452,54223,63414,35859,14059,65650,62860,2677,75480,65908,8588,71921,63020
249:8483,91955,17,302,84,654,94,301,29,254,546,1827,518,138,15,1471,364,1002,70,947
250:285,3250,2031,302,58,616,654,84,542,29,1102,289,322,564,138,518,101,245,70,8
253:189,8848,1206,4568,1527,7831,6434,4825,3172,15608,21771,11725,16519,14401,7859,6601,23884,3140,5624,3107
257:354,65,296,709,17,861,84,289,542,1476,554,101,62,138,15,1102,6,1196,285,394
272:1102,654,29,354,866,58,239,30556,138,55965,2868,395,726,16621,1762,650,518,6,301,8
273:967,302,17,654,101,301,138,289,354,861,554,902,76,15,650,1196,162,394,226,736
288:5998,116,699,1548,616,17,29,58,84,449,1023,364,354,15,1196,1102,650,76,101,289
290:13501,18867,17,138,226,302,354,116016,654,1382,834,5581,380,23093,84,76,564,117,986,64527
291:61628,16625,15989,23,26067,17,16852,26721,10384,10511,54443,31517,10183,24958,1050,97158,45410,84,518,10681
292:10930,58,654,289,616,301,138,3234,1476,495,749,1804,542,285,564,861,76,322,866,70
294:17,1102,302,289,354,101,899,8,861,1187,363,554,353,76,29,6,322,15,138,301
328:123082,302,43507,654,866,58,245,84,1902,239,361,899,1102,138,354,650,301,29,224,616
331:302,17,654,616,58,58471,35735,11208,7271,8649,34077,11888,22348,30747,29745,12362,5511,21873,38177,6
345:62840,11401,29573,1754,77581,39936,11841,81616,11281,25000,25212,3501,24765,25197,385,100590,92129,120518,805,80736
361:29,354,58,138,616,301,1762,518,8,3234,495,1476,650,76,289,322,285,224,70,736
376:8683,17,302,395,58,29,2868,3,1567,6284,5025,12632,14758,616,6,1476,3234,285,84,301
384:1979,4940,1684,616,17,654,302,542,301,554,101,1624,15,1196,650,32,564,62,1511,409
401:1009,14202,19431,58,1102,616,354,899,301,496,48,1187,554,29,32,138,650,15,542,245
402:3304,4793,16056,302,654,289,101,301,861,239,1476,3234,84,162,285,1102,15,542,62,8
410:4755,984,10041,2880,3172,463,1147,1013,4825,3211,14226,1740,7235,574,7880,8860,1326,801,760,7831
448:17532,598,53377,616,58,302,245,518,542,1382,1804,289,1276,76,327,654,61,564,15,1023
449:65,1039,11484,54210,5214,17,70,302,698,834,138,1535,2139,301,226,32,616,15,787,81
450:559,65,5567,193,1039,116,25061,53377,9525,8276,8105,302,990,29,654,1140,363,15,84,1511
452:749,13523,5869,27205,36183,112343,56536,50599,17,34941,23323,51765,74916,17100,7264,15808,76693,85485,93072,81165
476:398,8213,71577,47309,12716,17,15424,69277,1840,77594,31535,245,40896,899,508,74368,70,6164,12386,35330
488:1196,3304,376,4478,1548,43182,17,616,302,356,861,508,1102,787,58,542,15,564,61,518
490:17,302,15,101,29,289,301,354,32,394,495,138,554,363,61,76,486,650,62,1403
494:356,11,1212,6923,14202,10066,9942,616,58,138,29,101,654,17,542,564,84,1196,15,518
500:17,8861,14750,8197,1912,12253,5080,4756,7795,22199,11724,4075,28505,9230,11210,3448,21171,20045,76,302
514:8276,5214,18287,416,76,28541,9874,17,34489,57750,11206,48509,10778,8927,31739,2833,5693,4792,2103,2139
525:116,1187,875,70,302,84,780,6202,2967,496,48076,29419,1002,301,354,947,654,564,1749,140
535:17,29,1102,861,239,3234,289,6,1476,3,837,726,591,101,354,285,518,138,301,8
536:813,97,8276,302,29,654,58,616,84,76,138,650,354,542,518,289,224,70,301,8
